"x","y","D","Z","business_age","annual_revenue","employees"
712.629475100052,28023.4753160973,1,1,14,296717.38743094,15
696.580200690597,31944.4082202405,0,1,9,575816.936819756,18
699.521560027575,35183.1898733305,1,1,12,446285.061971404,18
778.947060277921,45343.4519517628,1,1,14,659518.703112611,23
718.536972694318,35836.0202574069,1,1,7,644049.685487736,17
582.68388252741,27955.6600561048,0,0,6,599866.545166778,19
642.892716556474,39445.5159061418,1,0,11,486202.987129417,17
675.730832262241,37906.2895695351,1,1,8,555578.240114729,20
645.288899702664,26816.4088119816,0,0,3,292923.164759569,16
706.999419434621,33359.7051299693,1,1,7,695128.736899221,20
716.286597171514,31664.9570831357,1,1,5,580896.789760716,19
599.782152980071,19886.5303123241,0,0,1,50000,11
729.290206074258,33055.5293533316,0,1,9,247191.413882139,15
767.639874224131,43248.0374989036,1,1,14,501566.500777989,20
765.024695631633,43506.9649992465,1,1,11,578130.131858077,18
585.437986121993,23465.4568030907,0,0,6,429908.37669582,23
667.276316468921,34929.7327167176,1,1,5,456648.9524163,16
680.403575672852,39905.3211300963,1,1,7,407993.27187904,18
655.57753695646,29054.7245724146,1,1,5,374269.24563142,10
698.147583875111,46620.4350688835,1,1,17,488151.772467151,22
696.51786379505,34227.2780408817,1,1,9,610416.337852203,15
595.89452444825,36891.7874170841,1,0,12,724820.155585076,19
718.429012605173,52963.6845565827,1,1,16,880787.193123078,22
751.810499156887,42903.0565910052,1,1,14,436769.465373107,23
623.14361881642,25024.4670704358,0,0,12,599085.827771744,15
708.530426012574,33109.2496265875,1,1,4,354123.245680956,13
679.138047497937,29985.6207145913,1,1,3,310675.22709549,11
680.660155205106,36373.6736189263,1,1,7,635241.538523804,13
606.888212162052,22443.1759078917,0,0,8,320647.092401113,17
709.332136617598,49031.8569157065,1,1,9,655853.860483444,20
538.730990453495,25486.5287111704,0,0,14,233200.736913755,17
742.455455543642,36644.6740399571,0,1,12,718484.738403528,19
659.157721748392,32572.6673047032,0,1,3,50000,12
624.064806165491,30022.7798712575,0,0,10,707133.225673283,18
564.413147928706,22395.6886708503,0,0,7,372161.640743789,12
594.106438642781,21432.4988320818,0,0,5,395911.310869632,16
620.388733319001,23595.5604760341,0,0,9,681345.168889152,17
545.685312762182,25142.2814127903,0,0,6,222831.954552822,14
631.968595869062,29845.7414601212,0,0,7,850570.375319338,16
638.128540060736,38637.9484116719,0,0,16,701330.872827966,18
759.948317992205,39474.8227687897,1,1,11,401599.143061844,18
649.986185281115,38600.8712706638,0,0,11,852391.801789267,18
717.102142578144,31386.8565614371,0,1,4,588858.161510482,14
716.00035897707,30058.214682458,1,1,9,354789.373509168,17
607.106385472761,20852.9261590832,0,0,1,407796.202596668,10
707.332027315456,42254.4352977348,1,1,10,695956.88532723,22
611.963304919264,37742.459597569,0,0,9,504182.923852626,17
660.373323651641,30310.846105362,0,1,9,363630.795995007,18
681.771599527645,37461.4586404698,0,1,9,471650.431577996,24
678.231816554941,31580.7573152947,0,1,8,580268.802016094,19
649.71417882723,37659.3210400713,0,0,3,564692.584211035,15
485.904935416553,21833.1368238951,0,0,2,592877.688200923,16
590.939874165604,28223.2804566812,0,0,7,594636.97466092,20
795.224321041959,42484.4436119716,1,1,10,730545.65496188,18
788.97070467025,33782.2906423609,0,1,7,707304.01411652,17
687.222583918508,36485.2072602768,1,1,14,301988.985759969,17
641.505279663383,36200.9526720635,0,0,13,820038.403848563,18
448.647199316681,27373.6347520157,0,0,4,518435.935374166,12
671.250201436205,27404.1095399766,0,1,9,226403.301797368,13
657.650395921584,27860.6368938404,0,1,6,210292.176134876,17
620.881252719831,43429.2433824621,1,0,6,652092.626314108,18
717.239121235816,37319.9199863815,1,1,10,268503.331880025,19
699.239078189833,38091.4233214118,1,1,2,380020.097280089,19
752.226530998499,49582.08712637,1,1,15,619883.297752216,22
657.745495415099,25403.1878167169,1,1,7,434122.004309452,14
561.925209355263,13518.9726834979,0,0,5,154441.712184281,9
605.608953092268,22293.3242320572,0,0,4,372569.472526283,19
590.228293693371,26840.7100257368,0,0,9,451180.697211092,14
613.859981395222,44746.6370369328,1,0,7,920205.169163838,24
632.012949976531,26986.1523253041,0,0,5,773816.631478645,15
763.257954758161,41493.7604581706,1,1,9,431593.197640528,19
609.128914367645,30584.4807517906,0,0,8,390398.804212604,13
649.721411403645,27839.8389751688,0,0,8,521605.87846686,14
603.587508073631,27792.0788759336,0,0,6,487805.540186866,13
643.70561307693,25456.9477375342,0,0,8,331798.035899006,13
629.771852872349,39867.9996592225,0,0,10,651702.363104546,20
686.901763614364,32874.1366659217,1,1,1,286733.32120725,18
686.457261042582,45671.4411291576,1,1,8,919209.367608671,21
613.746496434659,31423.0584693951,0,0,5,677840.521887192,13
646.164582721481,26408.6750967201,0,0,6,331177.294234832,15
692.796610117709,28268.1341070069,0,1,4,322014.135329032,12
658.116619622647,42544.7874818992,1,1,14,758642.088524587,21
729.24120415066,47376.7155493601,1,1,6,769814.827393479,18
578.099204225901,24271.7944539976,0,0,7,308257.16690787,12
552.570404511211,30396.7389819648,0,0,8,273488.226580273,20
629.813043770755,27067.8510114684,0,0,10,629774.718902876,22
698.675771875743,48804.6009446519,1,1,8,849622.310435492,19
541.38957617725,27761.5853185345,0,0,6,688378.99518538,14
512.889213696669,23309.7152652925,0,0,8,393717.505235192,15
716.69914430932,49481.2056368354,1,1,10,644281.274971797,17
692.13879170209,36103.6284977536,0,1,6,743200.669390039,16
653.5789787876,26435.1022616272,0,1,6,580958.980485266,19
826.716965845861,40032.5227016298,1,1,12,811819.670623635,23
633.670860715938,30313.5103677622,0,0,8,510928.820313449,17
622.248308448124,25265.1242464615,0,0,7,526297.597941906,15
746.983316207354,30535.9071449143,0,1,10,283701.304352642,15
708.741845206098,22114.0792504927,0,1,4,411790.001479081,11
531.72198674933,24072.4038663469,0,0,6,251196.584356149,13
555.838648665213,24338.0114819778,0,0,7,200329.536106068,17
716.190909176424,27375.9510177051,1,1,2,149914.051220361,22
693.863011076653,43047.7306199654,1,1,12,615850.856231244,17
674.126612316286,30362.2947704178,0,1,9,413281.237346063,13
679.181059200075,31229.9043665576,1,1,10,612031.259717962,23
698.047950798338,28159.0682218812,0,1,10,603465.882559662,15
642.851722355271,29935.1316103524,0,0,1,595519.50969067,11
