store_id,period,state,pre_treatment_sales,cohort,relative_period,treated,sales
1,1,PB,7.351668150614409,5,-4,0,7.345705798438607
1,2,PB,7.351668150614409,5,-3,0,5.169163148724801
1,3,PB,7.351668150614409,5,-2,0,9.010483797044213
1,4,PB,7.351668150614409,5,-1,0,4.45560181735619
1,5,PB,7.351668150614409,5,0,1,4.981926123861888
1,6,PB,7.351668150614409,5,1,1,15.010783944363114
1,7,PB,7.351668150614409,5,2,1,9.425812192283141
1,8,PB,7.351668150614409,5,3,1,13.337511759106796
1,9,PB,7.351668150614409,5,4,1,10.495248617793768
1,10,PB,7.351668150614409,5,5,1,7.909603555666068
1,11,PB,7.351668150614409,5,6,1,14.951475221627001
1,12,PB,7.351668150614409,5,7,1,10.610653999493792
2,1,PB,8.417218579727857,5,-4,0,11.451016680212382
2,2,PB,8.417218579727857,5,-3,0,3.5624216065682264
2,3,PB,8.417218579727857,5,-2,0,2.5442936153948894
2,4,PB,8.417218579727857,5,-1,0,18.64420124963594
2,5,PB,8.417218579727857,5,0,1,16.90562527652859
2,6,PB,8.417218579727857,5,1,1,7.485262262136634
2,7,PB,8.417218579727857,5,2,1,13.274785147148586
2,8,PB,8.417218579727857,5,3,1,11.758534760236415
2,9,PB,8.417218579727857,5,4,1,16.90886410262884
2,10,PB,8.417218579727857,5,5,1,12.069930307831996
2,11,PB,8.417218579727857,5,6,1,9.913091544893458
2,12,PB,8.417218579727857,5,7,1,15.427716115090513
3,1,PB,8.9463708553721,5,-4,0,10.911229864808183
3,2,PB,8.9463708553721,5,-3,0,15.733766329509319
3,3,PB,8.9463708553721,5,-2,0,14.92595901517159
3,4,PB,8.9463708553721,5,-1,0,7.0003907899573274
3,5,PB,8.9463708553721,5,0,1,13.45532730337142
3,6,PB,8.9463708553721,5,1,1,8.89321287595709
3,7,PB,8.9463708553721,5,2,1,11.822126445985084
3,8,PB,8.9463708553721,5,3,1,16.471905587005054
3,9,PB,8.9463708553721,5,4,1,19.405180077985598
3,10,PB,8.9463708553721,5,5,1,12.256589352294526
3,11,PB,8.9463708553721,5,6,1,13.000814906189365
3,12,PB,8.9463708553721,5,7,1,14.505821719919622
4,1,PB,4.602148861106355,5,-4,0,10.762670667967013
4,2,PB,4.602148861106355,5,-3,0,14.698730838998173
4,3,PB,4.602148861106355,5,-2,0,19.424586300146963
4,4,PB,4.602148861106355,5,-1,0,24.51531136243746
4,5,PB,4.602148861106355,5,0,1,26.4456482299474
4,6,PB,4.602148861106355,5,1,1,28.499049035606884
4,7,PB,4.602148861106355,5,2,1,28.638983574907062
4,8,PB,4.602148861106355,5,3,1,22.359943996845875
4,9,PB,4.602148861106355,5,4,1,18.324183920671565
4,10,PB,4.602148861106355,5,5,1,16.678081638165985
4,11,PB,4.602148861106355,5,6,1,24.837253115593022
4,12,PB,4.602148861106355,5,7,1,20.057587273389952
5,1,PB,7.2782689802728155,5,-4,0,19.5182965404741
5,2,PB,7.2782689802728155,5,-3,0,14.90453326506785
5,3,PB,7.2782689802728155,5,-2,0,19.233184699209225
5,4,PB,7.2782689802728155,5,-1,0,11.056145004481088
5,5,PB,7.2782689802728155,5,0,1,10.276727393045501
5,6,PB,7.2782689802728155,5,1,1,21.6899837128337
5,7,PB,7.2782689802728155,5,2,1,23.00313374795647
5,8,PB,7.2782689802728155,5,3,1,14.159724308631835
5,9,PB,7.2782689802728155,5,4,1,20.186065514621067
5,10,PB,7.2782689802728155,5,5,1,18.90787778526847
5,11,PB,7.2782689802728155,5,6,1,18.37762916374807
5,12,PB,7.2782689802728155,5,7,1,13.889198340021036
6,1,PB,7.304373780543252,5,-4,0,9.700166196566956
6,2,PB,7.304373780543252,5,-3,0,14.583765986685574
6,3,PB,7.304373780543252,5,-2,0,22.421318015622102
6,4,PB,7.304373780543252,5,-1,0,9.783334059095484
6,5,PB,7.304373780543252,5,0,1,11.948735343780836
6,6,PB,7.304373780543252,5,1,1,14.602641030545078
6,7,PB,7.304373780543252,5,2,1,22.298795616290192
6,8,PB,7.304373780543252,5,3,1,21.2036456575114
6,9,PB,7.304373780543252,5,4,1,10.145516063021464
6,10,PB,7.304373780543252,5,5,1,17.78184331542916
6,11,PB,7.304373780543252,5,6,1,23.192143140954354
6,12,PB,7.304373780543252,5,7,1,22.680231318934965
7,1,PB,8.386825845679999,5,-4,0,18.554373061574005
7,2,PB,8.386825845679999,5,-3,0,22.64290644799678
7,3,PB,8.386825845679999,5,-2,0,16.237106786752918
7,4,PB,8.386825845679999,5,-1,0,14.201773676449362
7,5,PB,8.386825845679999,5,0,1,16.072207772899077
7,6,PB,8.386825845679999,5,1,1,11.586478607793318
7,7,PB,8.386825845679999,5,2,1,24.020626063763974
7,8,PB,8.386825845679999,5,3,1,25.463548306215788
7,9,PB,8.386825845679999,5,4,1,25.88943416835038
7,10,PB,8.386825845679999,5,5,1,23.412339964073805
7,11,PB,8.386825845679999,5,6,1,26.201001316458786
7,12,PB,8.386825845679999,5,7,1,22.561464117202622
8,1,PB,8.018431387038559,5,-4,0,10.290345939646642
8,2,PB,8.018431387038559,5,-3,0,12.573958791867408
8,3,PB,8.018431387038559,5,-2,0,12.879040221494886
8,4,PB,8.018431387038559,5,-1,0,6.434083310243755
8,5,PB,8.018431387038559,5,0,1,7.935465468293655
8,6,PB,8.018431387038559,5,1,1,15.272655323992279
8,7,PB,8.018431387038559,5,2,1,18.987774906316897
8,8,PB,8.018431387038559,5,3,1,22.69314813646826
8,9,PB,8.018431387038559,5,4,1,23.070662734848895
8,10,PB,8.018431387038559,5,5,1,17.807823312055852
8,11,PB,8.018431387038559,5,6,1,19.26983259646293
8,12,PB,8.018431387038559,5,7,1,17.283129232881503
9,1,PB,8.858221199511112,5,-4,0,23.99535701862539
9,2,PB,8.858221199511112,5,-3,0,28.100485710915972
9,3,PB,8.858221199511112,5,-2,0,24.701971962723114
9,4,PB,8.858221199511112,5,-1,0,17.87608463018214
9,5,PB,8.858221199511112,5,0,1,20.2559509634445
9,6,PB,8.858221199511112,5,1,1,31.927851428167607
9,7,PB,8.858221199511112,5,2,1,21.10412407597086
9,8,PB,8.858221199511112,5,3,1,20.25049543360916
9,9,PB,8.858221199511112,5,4,1,27.637111097821528
9,10,PB,8.858221199511112,5,5,1,21.178352917341872
9,11,PB,8.858221199511112,5,6,1,22.65480670695439
9,12,PB,8.858221199511112,5,7,1,21.424832126902242
10,1,PB,7.488052429110301,5,-4,0,16.79421445036115
10,2,PB,7.488052429110301,5,-3,0,12.452765621169243
10,3,PB,7.488052429110301,5,-2,0,20.347580222724066
10,4,PB,7.488052429110301,5,-1,0,17.8949792178066
10,5,PB,7.488052429110301,5,0,1,18.379976820078
10,6,PB,7.488052429110301,5,1,1,25.524824699717506
10,7,PB,7.488052429110301,5,2,1,25.849431783276806
10,8,PB,7.488052429110301,5,3,1,17.049041830260293
10,9,PB,7.488052429110301,5,4,1,24.725646226740754
10,10,PB,7.488052429110301,5,5,1,10.89453487535822
10,11,PB,7.488052429110301,5,6,1,21.908023145160016
10,12,PB,7.488052429110301,5,7,1,19.79502306001255
11,1,PB,9.312192956273561,5,-4,0,14.281328131126951
11,2,PB,9.312192956273561,5,-3,0,13.119571810732458
11,3,PB,9.312192956273561,5,-2,0,21.515094269561303
11,4,PB,9.312192956273561,5,-1,0,15.128233602849342
11,5,PB,9.312192956273561,5,0,1,19.388131012057446
11,6,PB,9.312192956273561,5,1,1,22.81475379161982
11,7,PB,9.312192956273561,5,2,1,12.513709605499031
11,8,PB,9.312192956273561,5,3,1,13.488977965707413
11,9,PB,9.312192956273561,5,4,1,22.603371518478138
11,10,PB,9.312192956273561,5,5,1,20.935716271264113
11,11,PB,9.312192956273561,5,6,1,19.380732915481214
11,12,PB,9.312192956273561,5,7,1,21.93121135420654
12,1,PB,7.702909628378691,5,-4,0,7.579964396607378
12,2,PB,7.702909628378691,5,-3,0,2.7669203873195514
12,3,PB,7.702909628378691,5,-2,0,5.093722327141828
12,4,PB,7.702909628378691,5,-1,0,3.128524471527328
12,5,PB,7.702909628378691,5,0,1,5.613835747860403
12,6,PB,7.702909628378691,5,1,1,11.83401823766539
12,7,PB,7.702909628378691,5,2,1,5.543763293713748
12,8,PB,7.702909628378691,5,3,1,10.257967191712765
12,9,PB,7.702909628378691,5,4,1,8.665495120649242
12,10,PB,7.702909628378691,5,5,1,20.969732972049737
12,11,PB,7.702909628378691,5,6,1,20.21415885233953
12,12,PB,7.702909628378691,5,7,1,14.299247191915757
13,1,PB,5.094854637007654,5,-4,0,14.09493139732319
13,2,PB,5.094854637007654,5,-3,0,4.337850070072202
13,3,PB,5.094854637007654,5,-2,0,10.444173792467334
13,4,PB,5.094854637007654,5,-1,0,11.832849972602057
13,5,PB,5.094854637007654,5,0,1,11.766159947270388
13,6,PB,5.094854637007654,5,1,1,14.217718257441012
13,7,PB,5.094854637007654,5,2,1,15.121069389574734
13,8,PB,5.094854637007654,5,3,1,13.693993405176945
13,9,PB,5.094854637007654,5,4,1,17.782218259756018
13,10,PB,5.094854637007654,5,5,1,18.301952878559767
13,11,PB,5.094854637007654,5,6,1,21.81327726372176
13,12,PB,5.094854637007654,5,7,1,10.897337719234349
14,1,PB,8.346954509464556,5,-4,0,21.20886336682343
14,2,PB,8.346954509464556,5,-3,0,15.181963170905224
14,3,PB,8.346954509464556,5,-2,0,22.064818308469413
14,4,PB,8.346954509464556,5,-1,0,21.50708977267097
14,5,PB,8.346954509464556,5,0,1,17.463420070412344
14,6,PB,8.346954509464556,5,1,1,27.343808614902294
14,7,PB,8.346954509464556,5,2,1,21.235263239835092
14,8,PB,8.346954509464556,5,3,1,17.001038362535716
14,9,PB,8.346954509464556,5,4,1,10.900400341584355
14,10,PB,8.346954509464556,5,5,1,12.571259949898172
14,11,PB,8.346954509464556,5,6,1,10.599932913245418
14,12,PB,8.346954509464556,5,7,1,12.018813024947061
15,1,PB,10.266170116194676,5,-4,0,13.477096227029694
15,2,PB,10.266170116194676,5,-3,0,13.687555968656337
15,3,PB,10.266170116194676,5,-2,0,10.260484809978292
15,4,PB,10.266170116194676,5,-1,0,17.831150967682785
15,5,PB,10.266170116194676,5,0,1,17.370782701686153
15,6,PB,10.266170116194676,5,1,1,21.63124506406362
15,7,PB,10.266170116194676,5,2,1,14.699698483289707
15,8,PB,10.266170116194676,5,3,1,12.388089960872302
15,9,PB,10.266170116194676,5,4,1,13.681361589431882
15,10,PB,10.266170116194676,5,5,1,22.348692050251884
15,11,PB,10.266170116194676,5,6,1,24.312856650675442
15,12,PB,10.266170116194676,5,7,1,16.90187519140691
16,1,PB,8.585564543835323,5,-4,0,7.414709712560406
16,2,PB,8.585564543835323,5,-3,0,11.171751086218807
16,3,PB,8.585564543835323,5,-2,0,5.863338492287115
16,4,PB,8.585564543835323,5,-1,0,7.831196256077897
16,5,PB,8.585564543835323,5,0,1,11.612127370353509
16,6,PB,8.585564543835323,5,1,1,10.558544476150844
16,7,PB,8.585564543835323,5,2,1,11.175265024883087
16,8,PB,8.585564543835323,5,3,1,8.829013446482215
16,9,PB,8.585564543835323,5,4,1,8.735044611917626
16,10,PB,8.585564543835323,5,5,1,6.2025144001753025
16,11,PB,8.585564543835323,5,6,1,-0.9123784661697467
16,12,PB,8.585564543835323,5,7,1,12.818992623600106
17,1,PB,8.15777532204293,5,-4,0,13.435926541819375
17,2,PB,8.15777532204293,5,-3,0,16.74014018140392
17,3,PB,8.15777532204293,5,-2,0,5.224038457942182
17,4,PB,8.15777532204293,5,-1,0,10.975992954128099
17,5,PB,8.15777532204293,5,0,1,12.221834662236207
17,6,PB,8.15777532204293,5,1,1,14.354167695928865
17,7,PB,8.15777532204293,5,2,1,17.151108290977927
17,8,PB,8.15777532204293,5,3,1,12.421074244519353
17,9,PB,8.15777532204293,5,4,1,15.924445390300086
17,10,PB,8.15777532204293,5,5,1,25.681965047285956
17,11,PB,8.15777532204293,5,6,1,17.888285707648052
17,12,PB,8.15777532204293,5,7,1,25.95344422842257
18,1,PB,9.209740224765476,5,-4,0,9.521719170166785
18,2,PB,9.209740224765476,5,-3,0,16.405673931894352
18,3,PB,9.209740224765476,5,-2,0,22.888876271710163
18,4,PB,9.209740224765476,5,-1,0,22.525998039497278
18,5,PB,9.209740224765476,5,0,1,17.18087807239551
18,6,PB,9.209740224765476,5,1,1,23.58891195410958
18,7,PB,9.209740224765476,5,2,1,15.60647962188959
18,8,PB,9.209740224765476,5,3,1,22.683140216726024
18,9,PB,9.209740224765476,5,4,1,22.62756087849636
18,10,PB,9.209740224765476,5,5,1,26.886108013242186
18,11,PB,9.209740224765476,5,6,1,19.53985786581474
18,12,PB,9.209740224765476,5,7,1,25.197643942373688
19,1,PB,10.105151290450408,5,-4,0,18.38976858536724
19,2,PB,10.105151290450408,5,-3,0,26.82962470081988
19,3,PB,10.105151290450408,5,-2,0,24.691482418893663
19,4,PB,10.105151290450408,5,-1,0,19.50491989974552
19,5,PB,10.105151290450408,5,0,1,14.279642170796047
19,6,PB,10.105151290450408,5,1,1,13.351745506189568
19,7,PB,10.105151290450408,5,2,1,16.03026664243814
19,8,PB,10.105151290450408,5,3,1,18.009818893242358
19,9,PB,10.105151290450408,5,4,1,17.82876768644001
19,10,PB,10.105151290450408,5,5,1,16.6533683173772
19,11,PB,10.105151290450408,5,6,1,13.230534249179934
19,12,PB,10.105151290450408,5,7,1,16.06311367040427
20,1,PB,7.665655194608743,5,-4,0,7.197846650694937
20,2,PB,7.665655194608743,5,-3,0,7.515843857588391
20,3,PB,7.665655194608743,5,-2,0,5.404480455752038
20,4,PB,7.665655194608743,5,-1,0,12.11903119665931
20,5,PB,7.665655194608743,5,0,1,15.519105437505488
20,6,PB,7.665655194608743,5,1,1,15.998807825246772
20,7,PB,7.665655194608743,5,2,1,19.12354345400372
20,8,PB,7.665655194608743,5,3,1,8.67233391502526
20,9,PB,7.665655194608743,5,4,1,18.082913838154884
20,10,PB,7.665655194608743,5,5,1,21.192908038007673
20,11,PB,7.665655194608743,5,6,1,16.70001863188547
20,12,PB,7.665655194608743,5,7,1,21.10304692346874
21,1,PB,5.590410999930236,5,-4,0,12.694368678617906
21,2,PB,5.590410999930236,5,-3,0,6.873561834825221
21,3,PB,5.590410999930236,5,-2,0,19.2166223188375
21,4,PB,5.590410999930236,5,-1,0,7.471096594295929
21,5,PB,5.590410999930236,5,0,1,15.906351434058955
21,6,PB,5.590410999930236,5,1,1,18.182809040505578
21,7,PB,5.590410999930236,5,2,1,17.25289576374044
21,8,PB,5.590410999930236,5,3,1,19.454745941162688
21,9,PB,5.590410999930236,5,4,1,20.996069195734357
21,10,PB,5.590410999930236,5,5,1,22.15054808552141
21,11,PB,5.590410999930236,5,6,1,20.761710506931237
21,12,PB,5.590410999930236,5,7,1,22.729993937818023
22,1,PB,6.0601156342182945,5,-4,0,28.446471931326585
22,2,PB,6.0601156342182945,5,-3,0,17.147156018257206
22,3,PB,6.0601156342182945,5,-2,0,16.087367688266387
22,4,PB,6.0601156342182945,5,-1,0,14.610627144044551
22,5,PB,6.0601156342182945,5,0,1,21.63449125048184
22,6,PB,6.0601156342182945,5,1,1,27.994594411107784
22,7,PB,6.0601156342182945,5,2,1,30.194889834262177
22,8,PB,6.0601156342182945,5,3,1,25.284482832587194
22,9,PB,6.0601156342182945,5,4,1,19.924815096419092
22,10,PB,6.0601156342182945,5,5,1,26.817498037898694
22,11,PB,6.0601156342182945,5,6,1,26.502725124986327
22,12,PB,6.0601156342182945,5,7,1,21.07751237059993
